campus_id,student_count,pass_count,pass_rate,year
1902001,256,201,79,2016
1902041,337,276,82,2016
1902103,303,264,87,2016
1903001,484,428,88,2016
1903041,854,657,77,2016
1903102,615,531,86,2016
1904001,327,275,84,2016
1904041,469,383,82,2016
1904102,495,404,82,2016
1906002,169,111,66,2016
1906102,480,399,83,2016
1907001,1439,1035,72,2016
1907041,1554,1025,66,2016
1907107,522,323,62,2016
1907110,1826,1142,63,2016
1908002,602,438,73,2016
1908041,764,526,69,2016
1908101,1083,688,64,2016
1909001,145,123,85,2016
1909101,515,414,80,2016
2901001,1563,1191,76,2016
2901002,38,22,58,2016
2901041,2534,1731,68,2016
2901101,656,422,64,2016
2901104,1703,1130,66,2016
3801001,791,565,71,2016
3801103,808,636,79,2016
3902001,1083,892,82,2016
3902004,10,9,90,2016
3902041,1819,1560,86,2016
3902102,1623,1373,85,2016
3903001,2918,2292,79,2016
3903004,58,31,53,2016
3903044,4780,3386,71,2016
3903120,721,552,77,2016
3903121,1088,830,76,2016
3903122,725,432,60,2016
3903123,777,474,61,2016
3903129,1111,836,75,2016
3904001,851,621,73,2016
3904005,56,26,46,2016
3904041,1041,746,72,2016
3904101,250,161,64,2016
3904102,686,517,75,2016
3905001,809,581,72,2016
3905041,873,650,74,2016
3905101,275,186,68,2016
3905103,997,663,66,2016
3906001,444,290,65,2016
3906101,209,147,70,2016
3907001,651,497,76,2016
3907041,1276,911,71,2016
3907102,529,401,76,2016
4901001,1286,905,70,2016
4901041,2095,1477,71,2016
4901101,1430,1002,70,2016
4901103,449,272,61,2016
5901001,402,301,75,2016
5901101,316,264,84,2016
5902001,378,328,87,2016
5902041,684,578,85,2016
5902101,562,500,89,2016
5904001,209,186,89,2016
5904041,272,240,88,2016
5904101,230,198,86,2016
6902001,355,285,80,2016
6902101,201,165,82,2016
7901001,266,186,70,2016
7901041,420,276,66,2016
7901101,138,108,78,2016
7902001,724,537,74,2016
7902041,1022,766,75,2016
7902101,894,649,73,2016
7904001,835,544,65,2016
7904041,1028,610,59,2016
7904101,944,619,66,2016
7905001,1436,1027,72,2016
7905005,9,5,56,2016
7905041,1665,1155,69,2016
7905103,1194,752,63,2016
7905104,1218,906,74,2016
7906001,820,510,62,2016
7906041,1094,667,61,2016
7906101,265,151,57,2016
7906102,768,514,67,2016
8901001,1006,795,79,2016
8901041,1551,1171,75,2016
8901101,252,198,79,2016
8901102,780,591,76,2016
8901105,191,136,71,2016
8902001,1258,952,76,2016
8902041,1856,1251,67,2016
8902102,418,264,63,2016
8902103,1048,755,72,2016
8903001,306,236,77,2016
8903041,498,423,85,2016
8903102,494,345,70,2016
9901001,566,432,76,2016
9901002,9,6,67,2016
9901041,800,559,70,2016
9901101,853,554,65,2016
10901001,418,332,79,2016
10902001,863,701,81,2016
10902041,1354,1022,75,2016
10902101,619,466,75,2016
10902102,616,455,74,2016
11901001,1910,1379,72,2016
11901002,2025,1364,67,2016
11901005,164,157,96,2016
11901022,107,65,61,2016
11901041,2390,1658,69,2016
11901101,448,320,71,2016
11901102,547,392,72,2016
11901103,681,437,64,2016
11901104,1690,1096,65,2016
11901106,2844,1725,61,2016
11901107,657,413,63,2016
11901108,1880,1276,68,2016
11901109,755,546,72,2016
11901110,605,364,60,2016
11902001,1912,1292,68,2016
11902004,29,12,41,2016
11902041,2679,1665,62,2016
11902101,802,505,63,2016
11902102,717,389,54,2016
11902103,878,580,66,2016
11904002,708,571,81,2016
11904041,1039,721,69,2016
11904101,986,678,69,2016
11905101,344,272,79,2016
12901001,255,200,78,2016
12901042,517,453,88,2016
12901101,210,180,86,2016
13801101,558,493,88,2016
13901001,1964,1114,57,2016
13901041,1812,1064,59,2016
13901101,1125,693,62,2016
13901104,1077,603,56,2016
13902101,211,147,70,2016
13903001,447,259,58,2016
13903101,198,138,70,2016
13905001,406,336,83,2016
13905041,570,483,85,2016
13905101,483,408,84,2016
14801001,348,145,42,2016
14801002,831,280,34,2016
14801003,361,106,29,2016
14801004,360,122,34,2016
14801005,249,91,37,2016
14801006,283,82,29,2016
14801007,585,270,46,2016
14801008,272,84,31,2016
14803002,142,93,65,2016
14803003,148,72,49,2016
14803004,278,218,78,2016
14803101,363,259,71,2016
14804005,121,95,79,2016
14804006,2100,1852,88,2016
14901001,561,459,82,2016
14901041,975,783,80,2016
14901101,744,613,82,2016
14902001,563,353,63,2016
14903001,3696,2870,78,2016
14903005,610,565,93,2016
14903043,2141,1623,76,2016
14903044,2123,1424,67,2016
14903045,2708,2241,83,2016
14903102,341,277,81,2016
14903103,412,298,72,2016
14903104,483,310,64,2016
14903108,876,802,92,2016
14903109,841,730,87,2016
14903111,932,817,88,2016
14903116,588,476,81,2016
14903117,882,700,79,2016
14903118,814,621,76,2016
14905001,329,271,82,2016
14905041,505,413,82,2016
14905101,356,314,88,2016
14906001,3603,2456,68,2016
14906002,3762,2741,73,2016
14906006,381,209,55,2016
14906007,3240,2634,81,2016
14906008,3464,2419,70,2016
14906013,372,355,95,2016
14906042,1835,1136,62,2016
14906043,1838,1197,65,2016
14906044,1897,1227,65,2016
14906046,2056,1434,70,2016
14906048,2368,1528,65,2016
14906049,2482,1957,79,2016
14906050,2111,1528,72,2016
14906051,2522,2065,82,2016
14906052,1097,912,83,2016
14906053,3768,2971,79,2016
14906102,551,499,91,2016
14906103,503,353,70,2016
14906105,716,547,76,2016
14906108,727,560,77,2016
14906109,718,570,79,2016
14906110,778,562,72,2016
14906111,506,322,64,2016
14906112,466,290,62,2016
14906113,510,351,69,2016
14906115,835,707,85,2016
14906116,136,101,74,2016
14906117,387,332,86,2016
14906119,594,429,72,2016
14906120,895,578,65,2016
14906121,1018,859,84,2016
14906122,1039,823,79,2016
14906123,565,473,84,2016
14906124,743,607,82,2016
14906125,616,471,76,2016
14906126,245,211,86,2016
14906127,792,627,79,2016
14906128,422,350,83,2016
14906129,690,527,76,2016
14906130,680,545,80,2016
14906131,1014,809,80,2016
14906132,432,336,78,2016
14906133,1291,937,73,2016
14906135,1279,935,73,2016
14906136,1071,942,88,2016
14906137,660,567,86,2016
14906138,1148,918,80,2016
14906139,880,699,79,2016
14907001,387,307,79,2016
14907041,566,413,73,2016
14907102,515,399,77,2016
14908001,690,595,86,2016
14908041,1176,964,82,2016
14908042,927,782,84,2016
14909002,2927,2035,70,2016
14909008,146,64,44,2016
14909041,1787,1062,59,2016
14909042,1863,1105,59,2016
