district_id,district_name,campus_id,campus_name,community,
001902,CAYUGA ISD,001902001,CAYUGA H S,Rural,
001902,CAYUGA ISD,001902041,CAYUGA MIDDLE,Rural,
001902,CAYUGA ISD,001902103,CAYUGA EL,Rural,
001903,ELKHART ISD,001903001,ELKHART H S,Non-Metro Stable,
001903,ELKHART ISD,001903041,ELKHART MIDDLE,Non-Metro Stable,
001903,ELKHART ISD,001903101,ELKHART EL,Non-Metro Stable,
001903,ELKHART ISD,001903102,ELKHART INT,Non-Metro Stable,
001904,FRANKSTON ISD,001904001,FRANKSTON H S,Rural,
001904,FRANKSTON ISD,001904041,FRANKSTON MIDDLE,Rural,
001904,FRANKSTON ISD,001904102,FRANKSTON EL,Rural,
001906,NECHES ISD,001906002,NECHES H S,Rural,
001906,NECHES ISD,001906040,NECHES DAEP,Rural,
001906,NECHES ISD,001906102,NECHES EL,Rural,
001907,PALESTINE ISD,001907001,PALESTINE H S,Independent Town,
001907,PALESTINE ISD,001907041,PALESTINE J H,Independent Town,
001907,PALESTINE ISD,001907101,NORTHSIDE PRI,Independent Town,
001907,PALESTINE ISD,001907102,WASHINGTON EARLY CHILDHOOD CENTER,Independent Town,
001907,PALESTINE ISD,001907107,SOUTHSIDE EL,Independent Town,
001907,PALESTINE ISD,001907110,STORY INT,Independent Town,
001908,WESTWOOD ISD,001908002,WESTWOOD H S,Non-Metro Stable,
001908,WESTWOOD ISD,001908041,WESTWOOD J H,Non-Metro Stable,
001908,WESTWOOD ISD,001908101,WESTWOOD EL,Non-Metro Stable,
001908,WESTWOOD ISD,001908102,WESTWOOD PRI,Non-Metro Stable,
001909,SLOCUM ISD,001909001,SLOCUM H S,Rural,
001909,SLOCUM ISD,001909101,SLOCUM PK - 8,Rural,
002901,ANDREWS ISD,002901001,ANDREWS H S,Other CC Suburban,
002901,ANDREWS ISD,002901002,ANDREWS EDUCATION CENTER,Other CC Suburban,
002901,ANDREWS ISD,002901041,ANDREWS MIDDLE,Other CC Suburban,
002901,ANDREWS ISD,002901101,DEVONIAN EL,Other CC Suburban,
