NAME,TYPE,LENGTH,LABEL
CB00A003A15N,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed African American All Subjects Numerator"
CB00A003A15R,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed African American All Subjects Rate"
CB00AM03A15N,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed African American Mathematics Numerator"
CB00AM03A15R,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed African American Mathematics Rate"
CB00AR03A15N,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed African American Reading/ELA Numerator"
CB00AR03A15R,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed African American Reading/ELA Rate"
CB00AC03A15N,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed African American Science Numerator"
CB00AC03A15R,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed African American Science Rate"
CB00AS03A15N,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed African American Social Studies Numerator"
CB00AS03A15R,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed African American Social Studies Rate"
CB00AW03A15N,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed African American Writing Numerator"
CB00AW03A15R,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed African American Writing Rate"
CA00A003A15N,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed All Students All Subjects Numerator"
CA00A003A15R,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed All Students All Subjects Rate"
CA00AM03A15N,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed All Students Mathematics Numerator"
CA00AM03A15R,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed All Students Mathematics Rate"
CA00AR03A15N,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed All Students Reading/ELA Numerator"
CA00AR03A15R,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed All Students Reading/ELA Rate"
CA00AC03A15N,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed All Students Science Numerator"
CA00AC03A15R,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed All Students Science Rate"
CA00AS03A15N,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed All Students Social Studies Numerator"
CA00AS03A15R,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed All Students Social Studies Rate"
CA00AW03A15N,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed All Students Writing Numerator"
CA00AW03A15R,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed All Students Writing Rate"
CI00A003A15N,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed American Indian All Subjects Numerator"
CI00A003A15R,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed American Indian All Subjects Rate"
CI00AM03A15N,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed American Indian Mathematics Numerator"
CI00AM03A15R,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed American Indian Mathematics Rate"
CI00AR03A15N,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed American Indian Reading/ELA Numerator"
CI00AR03A15R,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed American Indian Reading/ELA Rate"
CI00AC03A15N,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed American Indian Science Numerator"
CI00AC03A15R,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed American Indian Science Rate"
CI00AS03A15N,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed American Indian Social Studies Numerator"
CI00AS03A15R,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed American Indian Social Studies Rate"
CI00AW03A15N,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed American Indian Writing Numerator"
CI00AW03A15R,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed American Indian Writing Rate"
C300A003A15N,Numeric,8,"Index 3 Campus 2015 Performance, Advanced Level: Grades 3-11, Summed Asian All Subjects Numerator"
